"name","size"
"typeB_tottori_2020_03.zip", 292.84M
"typeB_wakayama_2020_03.zip", 332.72M
"typeB_nara_2020_03.zip", 763.41M
"typeB_hyogo_2020_03.zip", 495.73M
"typeB_saga_2020_03.zip", 179.04M
"typeB_fukuoka_2020_03.zip",   1.24G
"typeB_kochi_2020_03.zip", 262.62M
"typeB_ehime_2020_03.zip", 407.06M
"typeB_kagawa_2020_03.zip", 173.26M
"typeB_tokushima_2020_03.zip", 165.21M
"typeB_yamaguchi_2020_03.zip", 181.55M
"typeB_hiroshima_2020_03.zip", 186.23M
"typeB_okinawa_2020_03.zip", 358.87M
"typeB_kagoshima_2020_03.zip", 462.23M
"typeB_miyazaki_2020_03.zip", 383.99M
"typeB_oita_2020_03.zip", 370.68M
"typeB_kumamoto_2020_03.zip", 540.73M
"typeB_nagasaki_2020_03.zip", 132.32M
"typeB_iwate_2020_04.zip", 643.94M
"typeB_aomori_2020_04.zip", 414.58M
"typeB_kitami_2020_04.zip", 181.87M
"typeB_kushiro_2020_04.zip", 299.68M
"typeB_asahikawa_2020_04.zip", 266.5M
"typeB_hakodate_2020_04.zip", 233.83M
"typeB_sapporo_2020_04.zip",   1.07G
"typeB_tochigi_2020_04.zip", 139.81M
"typeB_ibaraki_2020_04.zip", 776.72M
"typeB_fukushima_2020_04.zip", 286.39M
"typeB_yamagata_2020_04.zip", 354.25M
"typeB_akita_2020_04.zip", 100.99M
"typeB_miyagi_2020_04.zip", 547.77M
"typeB_gumma_2020_04.zip", 479.96M
"typeB_saitama_2020_04.zip", 691.96M
"typeB_chiba_2020_04.zip", 657.56M
"typeB_tokyo_2020_04.zip",   1.06G
"typeB_kanagawa_2020_04.zip",   1.49G
"typeB_yamanashi_2020_04.zip",  96.09M
"typeB_fukui_2020_04.zip", 235.4M
"typeB_ishikawa_2020_04.zip", 339.15M
"typeB_toyama_2020_04.zip", 361.26M
"typeB_nagano_2020_04.zip", 669.46M
"typeB_niigata_2020_04.zip", 528.28M
"typeB_gifu_2020_04.zip", 156.92M
"typeB_kyoto_2020_04.zip", 576.4M
"typeB_osaka_2020_04.zip",   1.08G
"typeB_shiga_2020_04.zip", 280.18M
"typeB_mie_2020_04.zip", 224.19M
"typeB_shizuoka_2020_04.zip", 315.38M
"typeB_aichi_2020_04.zip", 346.96M
"typeB_hyogo_2020_04.zip", 475.43M
"typeB_okayama_2020_04.zip", 217.8M
"typeB_shimane_2020_04.zip", 238.78M
"typeB_tottori_2020_04.zip", 282M
"typeB_wakayama_2020_04.zip", 328.11M
"typeB_nara_2020_04.zip", 741.22M
"typeB_ehime_2020_04.zip", 389.13M
"typeB_kagawa_2020_04.zip", 166.03M
"typeB_kochi_2020_04.zip", 251.47M
"typeB_tokushima_2020_04.zip", 158.97M
"typeB_yamaguchi_2020_04.zip", 175.46M
"typeB_oita_2020_04.zip", 361.04M
"typeB_miyazaki_2020_04.zip", 374.82M
"typeB_kumamoto_2020_04.zip", 559.31M
"typeB_saga_2020_04.zip", 174.8M
"typeB_nagasaki_2020_04.zip", 128M
"typeB_fukuoka_2020_04.zip",   1.19G
"typeB_kagoshima_2020_04.zip", 449.56M
"typeB_okinawa_2020_04.zip", 342.43M
"typeB_okinawa_2020_05.zip", 353.88M
"typeB_fukuoka_2020_05.zip",   1.23G
"typeB_saga_2020_05.zip", 179.73M
"typeB_nagasaki_2020_05.zip", 132.22M
"typeB_kumamoto_2020_05.zip", 586.64M
"typeB_oita_2020_05.zip", 372.75M
"typeB_miyazaki_2020_05.zip", 388.71M
"typeB_kagoshima_2020_05.zip", 464.98M
"typeB_hiroshima_2020_05.zip", 183.48M
"typeB_yamaguchi_2020_05.zip", 181.7M
"typeB_tokushima_2020_05.zip", 163.92M
"typeB_kagawa_2020_05.zip", 171.62M
"typeB_ehime_2020_05.zip", 401.94M
"typeB_kochi_2020_05.zip", 260.31M
"typeB_hyogo_2020_05.zip", 492.65M
"typeB_nara_2020_05.zip", 764.31M
"typeB_wakayama_2020_05.zip", 339.27M
"typeB_tottori_2020_05.zip", 288.69M
"typeB_shimane_2020_05.zip", 243.87M
"typeB_okayama_2020_05.zip", 225.1M
"typeB_osaka_2020_05.zip",   1.12G
"typeB_kitami_2020_05.zip", 187.68M
"typeB_kushiro_2020_05.zip", 309.9M
"typeB_asahikawa_2020_05.zip", 274.76M
"typeB_sapporo_2020_05.zip",   1.11G
"typeB_tokyo_2020_05.zip",   1.08G
"typeB_hakodate_2020_05.zip", 241.08M
"typeB_iwate_2020_05.zip", 664.23M
"typeB_aomori_2020_05.zip", 429.06M
"typeB_miyagi_2020_05.zip", 563.87M
"typeB_saitama_2020_05.zip", 714.01M
"typeB_gumma_2020_05.zip", 495.4M
"typeB_tochigi_2020_05.zip", 139.46M
"typeB_fukushima_2020_05.zip", 294.18M
"typeB_akita_2020_05.zip", 102.67M
"typeB_ibaraki_2020_05.zip", 807.25M
"typeB_yamagata_2020_05.zip", 365.9M
"typeB_chiba_2020_05.zip", 678.54M
"typeB_fukui_2020_05.zip", 242.66M
